labels,meta.nf.dd.paed,meta.nf,meta.dd.paed,meta,genomesize
Bolitoglossa_flavimembris,D,x,D,x,3.912023005
Bolitoglossa_morio,D,x,D,x,4.043051268
Bolitoglossa_dunni,D,x,D,x,3.931825633
Bolitoglossa_lincolni,D,x,D,x,3.970291914
Bolitoglossa_dofleini,D,x,D,x,4.077537444
Bolitoglossa_cuchumatana,D,x,D,x,3.784189634
Bolitoglossa_helmrichi,D,x,D,x,3.931825633
Bolitoglossa_rostrata,D,x,D,x,3.871201011
Bolitoglossa_engelhardti,D,x,D,x,3.871201011
Bolitoglossa_zapoteca,D,x,D,x,3.737669618
Bolitoglossa_riletti,D,x,D,x,4.060443011
Bolitoglossa_macrinii,D,x,D,x,4.394449155
Bolitoglossa_mexicana,D,x,D,x,4.234106505
Bolitoglossa_striatula,D,x,D,x,4.143134726
Bolitoglossa_platydactyla,D,x,D,x,4.204692619
Bolitoglossa_hartwegi,D,x,D,x,3.737669618
Bolitoglossa_stuarti,D,x,D,x,4.343805422
Bolitoglossa_cerroensis,D,x,D,x,4.060443011
Bolitoglossa_subpalmata,D,x,D,x,4.189654742
Bolitoglossa_robusta,D,x,D,x,3.80666249
Bolitoglossa_colonnea,D,x,D,x,3.988984047
Pseudoeurycea_altamontana,D,x,D,x,3.465735903
Pseudoeurycea_robertsi,D,x,D,x,3.951243719
Pseudoeurycea_longicauda,D,x,D,x,3.784189634
Pseudoeurycea_melanomolga,D,x,D,x,3.688879454
Pseudoeurycea_smithi,D,x,D,x,3.583518938
Pseudoeurycea_brunnata,D,x,D,x,3.737669618
Pseudoeurycea_rex,D,x,D,x,3.610917913
Pseudoeurycea_lineola,D,x,D,x,3.433987204
Pseudoeurycea_leprosa,D,x,D,x,3.33220451
Pseudoeurycea_werleri,D,x,D,x,3.688879454
Pseudoeurycea_conanti,D,x,D,x,3.526360525
Pseudoeurycea_saltator,D,x,D,x,3.091042453
Pseudoeurycea_juarezi,D,x,D,x,3.295836866
Pseudoeurycea_cephalica,D,x,D,x,3.688879454
Pseudoeurycea_bellii,D,x,D,x,3.850147602
Oedipina_poelzi,D,x,D,x,3.951243719
Oedipina_uniformis,D,x,D,x,3.80666249
Oedipina_pseudouniformis,D,x,D,x,3.713572067
Nyctanolis_pernix,D,x,D,x,3.33220451
Chiropterotriton_priscus,D,x,D,x,3.496507561
Chiropterotriton_magnipes,D,x,D,x,3.295836866
Chiropterotriton_orculus,D,x,D,x,2.833213344
Cryptotriton_alvarezdeltoroi,D,x,D,x,3.433987204
Batrachoseps_incognitus,D,x,D,x,3.433987204
Batrachoseps_major,D,x,D,x,3.465735903
Batrachoseps_gavilanensis,D,x,D,x,3.295836866
Batrachoseps_luciae,D,x,D,x,3.401197382
Batrachoseps_gabrieli,D,x,D,x,3.555348061
Batrachoseps_bramei,D,x,D,x,3.258096538
Batrachoseps_gregarius,D,x,D,x,3.33220451
Batrachoseps_nigriventris,D,x,D,x,3.258096538
Batrachoseps_kawia,D,x,D,x,3.496507561
Batrachoseps_attenuatus,D,x,D,x,3.713572067
Batrachoseps_campi,D,x,D,x,3.555348061
Eurycea_lucifuga,Mpleth,Mpleth,M,M,3.044522438
Eurycea_longicauda,Mpleth,Mpleth,M,M,3.33220451
Eurycea_bislineata,Mpleth,Mpleth,M,M,3.135494216
Eurycea_wilderae,Mpleth,Mpleth,M,M,3.044522438
Eurycea_tridentifera,P,x,P,x,3.295836866
Eurycea_neotenes,P,x,P,x,3.258096538
Eurycea_quadridigitata,M,M,M,M,3.218875825
Pseudotriton_ruber,Mpleth,Mpleth,M,M,3.218875825
Pseudotriton_montanus,Mpleth,Mpleth,M,M,3.135494216
Gyrinophilus_porphyriticus,Mpleth,Mpleth,M,M,3.135494216
Hemidactylium_scutatum,Mpleth,Mpleth,M,M,3.496507561
Aneides_flavipunctatus,D,x,D,x,3.80666249
Aneides_ferreus,D,x,D,x,3.737669618
Aneides_lugubris,D,x,D,x,3.761200116
Aneides_hardii,D,x,D,x,3.496507561
Aneides_aeneus,D,x,D,x,3.784189634
Desmognathus_ochrophaeus,Mpleth,Mpleth,M,M,2.772588722
Desmognathus_fuscus,Mpleth,Mpleth,M,M,2.833213344
Desmognathus_monticola,Mpleth,Mpleth,M,M,2.772588722
Desmognathus_quadramaculatus,Mpleth,Mpleth,M,M,2.708050201
Desmognathus_wrighti,D,x,D,x,2.63905733
Ensatina_eschscholtzii,D,x,D,x,3.80666249
Plethodon_ouachitae,D,x,D,x,3.526360525
Plethodon_glutinosus,D,x,D,x,3.295836866
Plethodon_yonahlossee,D,x,D,x,3.433987204
Plethodon_welleri,D,x,D,x,3.135494216
Plethodon_cinereus,D,x,D,x,3.135494216
Plethodon_richmondi,D,x,D,x,2.995732274
Plethodon_dunni,D,x,D,x,3.737669618
Plethodon_vehiculum,D,x,D,x,3.63758616
Plethodon_elongatus,D,x,D,x,3.496507561
Plethodon_vandykei,D,x,D,x,4.234106505
Hydromantes_genei,D,x,D,x,3.761200116
Hydromantes_italicus,D,x,D,x,4.276666119
Hydromantes_platycephalus,D,x,D,x,3.912023005
Karsenia_koreana,D,x,D,x,3.951243719
Amphiuma_means,P,x,P,x,4.369447852
Rhyacotriton_olympicus,M,M,M,M,4.204692619
Proteus_anguinus,P,x,P,x,3.891820298
Necturus_maculosus,P,x,P,x,4.442651256
Triturus_cristatus,M,M,M,M,3.17805383
Triturus_dobrogicus,M,M,M,M,3.295836866
Triturus_karelinii,M,M,M,M,3.401197382
Triturus_carnifex,M,M,M,M,3.295836866
Triturus_marmoratus,M,M,M,M,3.17805383
Triturus_pygmaeus,M,M,M,M,3.295836866
Paramesotriton_hongkongensis,M,M,M,M,3.931825633
Ambystoma_tigrinum,M,M,M,M,3.433987204
Ambystoma_mexicanum,M,M,M,M,3.258096538
Ambystoma_californiense,M,M,M,M,3.465735903
Ambystoma_texanum,M,M,M,M,3.218875825
Ambystoma_laterale,M,M,M,M,3.36729583
Dicamptodon_ensatus,M,M,M,M,4.043051268
Siren_lacertina,P,x,P,x,4.025351691
Siren_intermedia,P,x,P,x,4.007333185
Pseudobranchus_striatus,P,x,P,x,3.850147602
Ranodon_sibiricus,M,M,M,M,3.17805383
Paradactylodon_mustersi,M,M,M,M,3.091042453
Salamandrella_keyserlingii,M,M,M,M,3.218875825
Hynobius_naevius,M,M,M,M,2.995732274
Onychodactylus_fischeri,M,M,M,M,3.871201011
Andrias_davidianus,M,M,M,M,3.912023005
Andrias_japonicus,M,M,M,M,3.850147602