"labels","nodes","ancestors","times","genomesize","plethodontids","mpd","pleth","metamorphosis"
,3,4,0.7165505669,"NA","NA","M","pleth","M"
,4,10,0.6126867746,"NA","NA","M","pleth","M"
,5,9,0.7931904136,"NA","NA","M","pleth","M"
,6,9,0.8356363287,"NA","NA","M","pleth","M"
,7,8,0.9907610185,"NA","NA","P","pleth","x"
,8,9,0.7470845058,"NA","NA","M","pleth","M"
,9,10,0.710481579,"NA","NA","M","pleth","M"
,10,45,0.5049289901,"NA","NA","M","pleth","M"
,11,14,0.8086733827,"NA","NA","D","pleth","x"
,12,13,0.744012512,"NA","NA","D","pleth","x"
,13,14,0.730999538,"NA","NA","D","pleth","x"
,14,15,0.7076885846,"NA","NA","D","pleth","x"
,15,16,0.7036405927,"NA","NA","D","pleth","x"
,16,18,0.5901688197,"NA","NA","D","pleth","x"
,17,18,0.8248493503,"NA","NA","D","pleth","x"
,18,44,0.4382001236,"NA","NA","D","pleth","x"
,19,20,0.7701394597,"NA","NA","D","pleth","x"
,20,21,0.6301277397,"NA","NA","D","pleth","x"
,21,23,0.5136859726,"NA","NA","D","pleth","x"
,22,23,0.5263159474,"NA","NA","D","pleth","x"
,23,43,0.4186531627,"NA","NA","D","pleth","x"
,24,25,0.8877832244,"NA","NA","D","pleth","x"
,25,28,0.7699544601,"NA","NA","D","pleth","x"
,26,27,0.787509425,"NA","NA","D","pleth","x"
,27,28,0.743009514,"NA","NA","D","pleth","x"
,28,30,0.7030395939,"NA","NA","D","pleth","x"
,29,30,0.6090747819,"NA","NA","D","pleth","x"
,30,42,0.6037277925,"NA","NA","D","pleth","x"
,31,32,0.7599664801,"NA","NA","D","pleth","x"
,32,41,0.6462877074,"NA","NA","D","pleth","x"
,33,40,0.722489555,"NA","NA","D","pleth","x"
,34,35,0.8944252111,"NA","NA","D","pleth","x"
,35,40,0.6728676543,"NA","NA","D","pleth","x"
,36,38,0.6145827708,"NA","NA","D","pleth","x"
,37,38,0.7447055106,"NA","NA","D","pleth","x"
,38,39,0.5635458729,"NA","NA","D","pleth","x"
,39,40,0.5440959118,"NA","NA","D","pleth","x"
,40,41,0.5154579691,"NA","NA","D","pleth","x"
,41,42,0.5043699913,"NA","NA","D","pleth","x"
,42,43,0.4016191968,"NA","NA","D","pleth","x"
,43,44,0.3514092972,"NA","NA","D","pleth","x"
,44,45,0.3320863358,"NA","NA","D","pleth","x"
,45,46,0.3092393815,"NA","NA","M","pleth","M"
,46,68,0.2309725381,"NA","NA","M","pleth","M"
,47,48,0.8211993576,"NA","NA","D","pleth","x"
,48,67,0.5592738815,"NA","NA","D","pleth","x"
,49,50,0.8134493731,"NA","NA","M","pleth","M"
,50,51,0.7332025336,"NA","NA","M","pleth","M"
,51,52,0.7116905766,"NA","NA","M","pleth","M"
,52,57,0.6037237926,"NA","NA","D","pleth","x"
,53,54,0.5456549087,"NA","NA","D","pleth","x"
,54,55,0.531000938,"NA","NA","D","pleth","x"
,55,56,0.4709730581,"NA","NA","D","pleth","x"
,56,57,0.4529310941,"NA","NA","D","pleth","x"
,57,58,0.3187843624,"NA","NA","D","pleth","x"
,58,67,0.2792934414,"NA","NA","D","pleth","x"
,59,60,0.6677566645,"NA","NA","D","pleth","x"
,60,66,0.4125731749,"NA","NA","D","pleth","x"
,61,62,0.7616504767,"NA","NA","D","pleth","x"
,62,63,0.7459585081,"NA","NA","D","pleth","x"
,63,65,0.6488867022,"NA","NA","D","pleth","x"
,64,65,0.8249343501,"NA","NA","D","pleth","x"
,65,66,0.5983208034,"NA","NA","D","pleth","x"
,66,67,0.282014436,"NA","NA","D","pleth","x"
,67,68,0.2667594665,"NA","NA","D","pleth","x"
,68,"NA",0.2022895954,"NA","NA","M","pleth","M"
"Aneides_aeneus",160,56,0.999998,44,"plethodontids","D","pleth","x"
"Aneides_ferreus",162,53,0.999998,42,"plethodontids","D","pleth","x"
"Aneides_flavipunctatus",163,53,0.999998,45,"plethodontids","D","pleth","x"
"Aneides_hardii",161,55,0.999998,33,"plethodontids","D","pleth","x"
"Aneides_lugubris",164,54,0.999998,43,"plethodontids","D","pleth","x"
"Batrachoseps_attenuatus",117,16,0.999999,41,"plethodontids","D","pleth","x"
"Batrachoseps_campi",119,17,0.999999,35,"plethodontids","D","pleth","x"
"Batrachoseps_gabrieli",108,15,0.999999,35,"plethodontids","D","pleth","x"
"Batrachoseps_gavilanensis",112,14,0.999999,27,"plethodontids","D","pleth","x"
"Batrachoseps_gregarius",114,12,1,28,"plethodontids","D","pleth","x"
"Batrachoseps_incognitus",110,11,0.999999,31,"plethodontids","D","pleth","x"
"Batrachoseps_kawia",116,13,1,33,"plethodontids","D","pleth","x"
"Batrachoseps_luciae",111,11,0.999999,30,"plethodontids","D","pleth","x"
"Batrachoseps_major",109,11,0.999999,32,"plethodontids","D","pleth","x"
"Batrachoseps_nigriventris",113,12,1,26,"plethodontids","D","pleth","x"
"Batrachoseps_robustus",118,17,0.999999,37,"plethodontids","D","pleth","x"
"Batrachoseps_sp_fairview",115,12,1,26,"plethodontids","D","pleth","x"
"Bolitoglossa_cerroensis",136,31,0.999999,58,"plethodontids","D","pleth","x"
"Bolitoglossa_colonnea",135,32,0.999999,54,"plethodontids","D","pleth","x"
"Bolitoglossa_dofleini",145,40,0.999999,59,"plethodontids","D","pleth","x"
"Bolitoglossa_dunni",144,35,0.999999,51,"plethodontids","D","pleth","x"
"Bolitoglossa_engelhardti",140,33,0.999999,48,"plethodontids","D","pleth","x"
"Bolitoglossa_flavimembris",143,34,0.999999,50,"plethodontids","D","pleth","x"
"Bolitoglossa_hartwegi",146,39,0.999999,42,"plethodontids","D","pleth","x"
"Bolitoglossa_lincolni",141,35,0.999999,53,"plethodontids","D","pleth","x"
"Bolitoglossa_minutula",137,31,0.999999,49,"plethodontids","D","pleth","x"
"Bolitoglossa_morio",142,34,0.999999,57,"plethodontids","D","pleth","x"
"Bolitoglossa_occidentalis",149,37,0.999999,44,"plethodontids","D","pleth","x"
"Bolitoglossa_platydactyla",147,36,0.999999,67,"plethodontids","D","pleth","x"
"Bolitoglossa_rostrata",139,33,0.999999,48,"plethodontids","D","pleth","x"
"Bolitoglossa_rufescens",150,37,0.999999,42,"plethodontids","D","pleth","x"
"Bolitoglossa_striatula",148,36,0.999999,63,"plethodontids","D","pleth","x"
"Bolitoglossa_subpalmata",138,32,0.999999,66,"plethodontids","D","pleth","x"
"Dendrotriton_bromeliacius",125,22,0.999999,37,"plethodontids","D","pleth","x"
"Desmognathus_fuscus",157,49,0.999998,17,"plethodontids","M","pleth","M"
"Desmognathus_monticola",155,50,0.999998,16,"plethodontids","M","pleth","M"
"Desmognathus_ochrophaeus",156,49,0.999998,16,"plethodontids","M","pleth","M"
"Desmognathus_quadramaculatus",158,51,0.999999,15,"plethodontids","M","pleth","M"
"Desmognathus_wrighti",159,52,0.999999,14,"plethodontids","D","pleth","x"
"Ensatina_eschscholtzii",154,58,0.999999,45,"plethodontids","D","pleth","x"
"Eurycea_bislineata",104,6,0.999999,23,"plethodontids","M","pleth","M"
"Eurycea_longicauda",102,5,0.999999,28,"plethodontids","M","pleth","M"
"Eurycea_lucifuga",101,5,0.999999,21,"plethodontids","M","pleth","M"
"Eurycea_neotenes",106,7,0.999999,26,"plethodontids","P","pleth","x"
"Eurycea_quadridigitata",107,8,0.999999,25,"plethodontids","M","pleth","M"
"Eurycea_tridentifera",105,7,0.999999,27,"plethodontids","P","pleth","x"
"Eurycea_wilderae",103,6,0.999999,21,"plethodontids","M","pleth","M"
"Gyrinophilus_porphyriticus",100,4,0.999999,23,"plethodontids","M","pleth","M"
"Hemidactylium_scutatum",97,46,0.999999,33,"plethodontids","M","pleth","M"
"Hydromantes_genei",152,47,0.999999,43,"plethodontids","D","pleth","x"
"Hydromantes_italicus",151,47,0.999999,72,"plethodontids","D","pleth","x"
"Hydromantes_platycephalus",153,48,0.999999,50,"plethodontids","D","pleth","x"
"Karsenia_koreana",165,58,0.999999,52,"plethodontids","D","pleth","x"
"Lineatriton_lineolus",132,26,1,31,"plethodontids","D","pleth","x"
"Nototriton_picadoi",120,21,0.999999,28,"plethodontids","D","pleth","x"
"Nyctanolis_pernix",124,22,0.999999,28,"plethodontids","D","pleth","x"
"Oedipina_poelzi",122,19,0.999999,52,"plethodontids","D","pleth","x"
"Oedipina_pseudouniformis",121,19,0.999999,41,"plethodontids","D","pleth","x"
"Oedipina_uniformis",123,20,0.999999,45,"plethodontids","D","pleth","x"
"Parvimolge_townsendi",126,42,0.999999,21,"plethodontids","D","pleth","x"
"Plethodon_cinereus",175,64,0.999999,23,"plethodontids","D","pleth","x"
"Plethodon_dunni",166,59,1,42,"plethodontids","D","pleth","x"
"Plethodon_elongatus",168,60,1,33,"plethodontids","D","pleth","x"
"Plethodon_glutinosus",170,62,0.999999,27,"plethodontids","D","pleth","x"
"Plethodon_ouachitae",171,61,0.999999,34,"plethodontids","D","pleth","x"
"Plethodon_richmondi",174,64,0.999999,20,"plethodontids","D","pleth","x"
"Plethodon_vandykei",169,66,0.999999,69,"plethodontids","D","pleth","x"
"Plethodon_vehiculum",167,59,1,38,"plethodontids","D","pleth","x"
"Plethodon_welleri",173,63,0.999999,23,"plethodontids","D","pleth","x"
"Plethodon_yonahlossee",172,61,0.999999,31,"plethodontids","D","pleth","x"
"Pseudoeurycea_bellii",134,29,0.999999,47,"plethodontids","D","pleth","x"
"Pseudoeurycea_cephalica",133,29,0.999999,40,"plethodontids","D","pleth","x"
"Pseudoeurycea_juarezi",130,27,1,27,"plethodontids","D","pleth","x"
"Pseudoeurycea_leprosa",131,26,1,28,"plethodontids","D","pleth","x"
"Pseudoeurycea_melanomolga",128,24,0.999999,40,"plethodontids","D","pleth","x"
"Pseudoeurycea_rex",129,25,0.999999,37,"plethodontids","D","pleth","x"
"Pseudoeurycea_robertsi",127,24,0.999999,52,"plethodontids","D","pleth","x"
"Pseudotriton_montanus",99,3,0.999999,23,"plethodontids","M","pleth","M"
"Pseudotriton_ruber",98,3,0.999999,25,"plethodontids","M","pleth","M"
